Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-8.9147959,-0.0065880138,-0.0059383996,-0.0060375929
-11.018535,-0.0073550791,-0.0067297071,-0.006863907
-12.852428,-0.0079484489,-0.0074052522,-0.0075761974
-14.672693,-0.0085831862,-0.0078331251,-0.0082884282
-16.70048,-0.0093655773,-0.0086010536,-0.0090945065
-18.833214,-0.0099861212,-0.0092450166,-0.0097856224
-20.831953,-0.010754319,-0.010068433,-0.010597244
-22.754152,-0.011493169,-0.010709425,-0.011301637
-24.537615,-0.012082564,-0.011226936,-0.01205571
-26.431089,-0.012789097,-0.011834109,-0.012821198
-28.585337,-0.013608124,-0.012579593,-0.013627812
-30.669378,-0.014346024,-0.013310324,-0.01443702
-32.591908,-0.015084721,-0.013878625,-0.015241802
-34.269722,-0.015692035,-0.014460303,-0.015834287
-36.19241,-0.016437434,-0.015078539,-0.016683131
-38.332722,-0.017159486,-0.015816992,-0.017508879
-40.446022,-0.017958006,-0.016496785,-0.018349782
-42.394657,-0.01868272,-0.017232647,-0.019146189
-44.054409,-0.019341482,-0.017715212,-0.019773394
-45.896866,-0.020104671,-0.01834779,-0.020470589
-48.018871,-0.02082848,-0.01906641,-0.021267474
-50.176033,-0.021703135,-0.019671943,-0.022103235
-52.142559,-0.022400551,-0.020443335,-0.022836015
-53.802452,-0.02303521,-0.02092007,-0.023490667
-55.633228,-0.023744397,-0.021648003,-0.024241239
-57.791149,-0.024522312,-0.022325089,-0.025065184
-59.949181,-0.025333293,-0.023001226,-0.02590166
-61.946907,-0.026050813,-0.023761431,-0.026657715
-63.5839,-0.026652336,-0.024236951,-0.027331889
-65.395538,-0.027323108,-0.024848754,-0.028052926
-67.442406,-0.028093856,-0.025629843,-0.028841674
-69.597885,-0.028918955,-0.026210047,-0.029616073
-71.644157,-0.029736504,-0.026890479,-0.030349106
-73.41378,-0.030260663,-0.027671719,-0.031084031
-75.154022,-0.031015862,-0.028097684,-0.031699702
-77.182945,-0.031789828,-0.028788134,-0.032463059
-79.352226,-0.032557327,-0.029494008,-0.033262372
-81.459267,-0.033291522,-0.030336967,-0.034040853
-83.238785,-0.033973068,-0.030926472,-0.034781694
-84.965149,-0.0345928,-0.031373937,-0.035479307
-86.899399,-0.035361696,-0.032122977,-0.036160335
-89.082664,-0.036095064,-0.032876361,-0.036934331
-91.190163,-0.03690676,-0.033495244,-0.037706152
-93.003662,-0.037557907,-0.03419587,-0.038457662
-94.700424,-0.038161851,-0.034719203,-0.039050788
-96.635811,-0.038898692,-0.035409939,-0.039833397
-98.841286,-0.03969001,-0.036224026,-0.040688351
-100.93739,-0.040470593,-0.036850031,-0.041477919
-102.8104,-0.041123662,-0.037494615,-0.042182803
-104.4883,-0.041774042,-0.038028069,-0.042736933
-106.38091,-0.042490784,-0.038641442,-0.043427095
-108.4693,-0.043201972,-0.03945341,-0.044289812
-110.63844,-0.043980382,-0.040083844,-0.045061037
-112.5916,-0.044705782,-0.040905312,-0.045893952
-114.26897,-0.045278788,-0.041527927,-0.046526507
-116.09441,-0.045998186,-0.042112213,-0.047104314
-118.2037,-0.046760499,-0.042859305,-0.04793258
-120.3335,-0.047539741,-0.043632213,-0.048758313
-122.33946,-0.048315704,-0.044344958,-0.049514428
-120.09396,-0.047677167,-0.04378498,-0.048873648
-117.99854,-0.047135651,-0.04314566,-0.048276976
-116.11958,-0.046601158,-0.042599048,-0.047731906
-114.33484,-0.046079498,-0.041947812,-0.047083005
-112.36306,-0.045475662,-0.041444242,-0.046474069
-110.1389,-0.044739079,-0.040764835,-0.045743793
-108.02689,-0.044138808,-0.040100951,-0.045076847
-106.1655,-0.043611676,-0.039586395,-0.04445231
-104.49085,-0.043050781,-0.038993686,-0.043928981
-102.59073,-0.042401016,-0.038395803,-0.043347016
-100.38721,-0.041714519,-0.037721284,-0.042627901
-98.22599,-0.0410695,-0.037088696,-0.041859478
-96.364212,-0.040435664,-0.036493886,-0.041177675
-94.690277,-0.039876074,-0.036001734,-0.040622666
-92.839577,-0.039273847,-0.035406996,-0.040035471
-90.603554,-0.038583532,-0.034749433,-0.039243102
-88.493126,-0.037849236,-0.03403851,-0.038485914
-86.614372,-0.037247188,-0.0334347,-0.037845731
-84.921898,-0.036668796,-0.032865811,-0.037215769
-83.061989,-0.036048885,-0.032242034,-0.036588117
-80.886055,-0.035197604,-0.031568952,-0.035843611
-78.701294,-0.034574695,-0.030821228,-0.035039857
-76.797569,-0.03400873,-0.030286735,-0.034328133
-75.137108,-0.03331013,-0.02979606,-0.033785731
-73.322754,-0.032702036,-0.029239999,-0.033136696
-71.164772,-0.031918999,-0.028447231,-0.032389373
-69.019203,-0.031158801,-0.027685633,-0.03161487
-67.067856,-0.03052102,-0.027106363,-0.030849144
-65.328705,-0.029839858,-0.026552591,-0.030219004
-63.573456,-0.029208302,-0.02591031,-0.029564187
-61.500214,-0.028478295,-0.025343686,-0.028848976
-59.313129,-0.02767349,-0.024629273,-0.027992845
-57.311939,-0.026915483,-0.023917791,-0.027206138
-55.538204,-0.026209597,-0.023434304,-0.026537046
-53.778721,-0.025548607,-0.02275572,-0.025831908
-51.752213,-0.024727628,-0.022199525,-0.025070399
-49.595688,-0.023962736,-0.021361392,-0.024203435
-47.555927,-0.023197144,-0.020758249,-0.023419946
-45.773708,-0.022461385,-0.020160828,-0.022749275
-44.036572,-0.021849222,-0.019449212,-0.022041932
-42.046604,-0.020995475,-0.018900011,-0.021291688
-39.869144,-0.020167213,-0.018196916,-0.020332873
-37.819668,-0.019354545,-0.017379055,-0.019537315
-36.05838,-0.018670259,-0.016904961,-0.018865004
-34.25238,-0.017869249,-0.016262079,-0.018147677
-32.32724,-0.01720201,-0.015534798,-0.017260373
-30.122591,-0.016214728,-0.014882833,-0.016324192
-28.035666,-0.015359366,-0.014125844,-0.015484914
-26.315348,-0.014657576,-0.013459465,-0.014706597
-24.556805,-0.013904901,-0.012816962,-0.013914138
-22.604229,-0.013069168,-0.012101304,-0.013111711
-20.456999,-0.012246156,-0.011405246,-0.012198091
-18.341467,-0.011389146,-0.010624451,-0.011254817
-16.53064,-0.010596519,-0.0099200653,-0.010483682
-14.762703,-0.0098678339,-0.0091964183,-0.0097361654
