MTS793|MPT|DEU|1|2|,|.|:|49|1|1|A

Bediener Information						Zeit:	38,506836	Sec	05.07.2010 15:35:46
Datum : 	05.07.2010
Prüfer : 	Machura
Probenbezeichnung :  	TH-M7-Z13
Bemerkungen	Kraftgeregelt 3,9 kN/s
Bemerkung 	
Taster	-
Länge in mm	299,5
Höhe in mm	Durchmesser: 98,8
Breite in mm	-
Masse in g	5425,0
zusätzlich MTS Aufnehmer	1944A, 1944B, 1281068
Messlänge MTS	100 mm
Bediener Information Ende

Datenerfassung						Zeit:	481,86328	Sec	05.07.2010 15:43:09
Laufzeit	Ch 1 Kraft	Ch 1 Weg	1944 A	1944 B	1281068
Sec	kN	mm	mm	mm	mm
117,01758	-8,1338291	-0,063964725	-0,007107948	-0,006045796	-0,0047678817
117,51758	-6,7452574	-0,056957453	-0,0066015101	-0,0054158573	-0,0043799393
118,01758	-4,2586923	-0,044023246	-0,0054518329	-0,0042241965	-0,0037989132
118,51758	-2,2587256	-0,029459596	-0,0044185827	-0,0032769737	-0,0034255423
119,01758	-3,33165	-0,034504384	-0,0046477485	-0,0036232199	-0,0033699125
119,51758	-5,1264839	-0,044521689	-0,0054239053	-0,0042754458	-0,0038050562
120,01758	-7,2841368	-0,055129081	-0,0062182117	-0,0052317823	-0,004160136
120,51758	-9,4423923	-0,065089017	-0,0070742834	-0,0060956581	-0,0045300499
121,01758	-11,588139	-0,073610991	-0,0079037901	-0,0069960635	-0,0050871093
121,51758	-13,521105	-0,080820173	-0,0086911339	-0,00770438	-0,005476363
122,01758	-15,474659	-0,088628381	-0,0095319152	-0,0084431833	-0,0061143022
122,51758	-17,441586	-0,095035881	-0,010447863	-0,0091117779	-0,0065178387
123,01758	-19,394184	-0,10140985	-0,011359224	-0,009794347	-0,0070690922
123,51758	-21,322191	-0,10657459	-0,012190489	-0,010345279	-0,0076944064
124,01758	-23,245226	-0,11473969	-0,013087378	-0,010918672	-0,0082900785
124,51758	-25,182753	-0,12044311	-0,014004583	-0,011505243	-0,008998502
125,01758	-27,15654	-0,12662783	-0,014949744	-0,012123098	-0,0094776414
125,51758	-29,113361	-0,13081059	-0,015854392	-0,012813438	-0,009985093
126,01758	-31,059824	-0,1368545	-0,016724451	-0,013393725	-0,010715092
126,51758	-32,997135	-0,14334396	-0,017587941	-0,014012194	-0,011300759
127,01758	-34,957478	-0,14840513	-0,018521622	-0,014623089	-0,012088751
127,51758	-36,912094	-0,15346929	-0,019261107	-0,015249434	-0,01263592
128,01758	-38,852821	-0,159657	-0,020137515	-0,015839191	-0,013229582
128,51758	-40,782181	-0,16477779	-0,020932458	-0,016512642	-0,013978239
129,01758	-42,709122	-0,16999468	-0,021793976	-0,017196329	-0,014615715
129,51758	-44,702152	-0,1752086	-0,022678018	-0,017716318	-0,015444912
130,01758	-46,612465	-0,18050149	-0,023449337	-0,018357998	-0,016019125
130,51758	-48,580639	-0,18601641	-0,024216022	-0,019030774	-0,016640108
131,01758	-50,560078	-0,1905866	-0,025051534	-0,019654524	-0,017400593
131,51758	-52,485752	-0,19611791	-0,025859036	-0,020247322	-0,018054176
132,01758	-54,434502	-0,20207837	-0,026630577	-0,020874532	-0,018914118
132,51758	-56,355183	-0,20735934	-0,027416922	-0,021519754	-0,019448396
133,01758	-58,337849	-0,21003336	-0,028200245	-0,022120357	-0,020241305
133,51758	-60,19101	-0,21712855	-0,028936138	-0,022689762	-0,020878144
134,01758	-62,199467	-0,22024512	-0,029723668	-0,023444155	-0,021567181
134,51758	-64,277138	-0,22702813	-0,030469168	-0,024079705	-0,022437904
135,01758	-66,207825	-0,23149103	-0,031208532	-0,024706235	-0,023154631
135,51758	-68,123749	-0,23576021	-0,031973958	-0,02530032	-0,023827203
136,01758	-70,081116	-0,23969188	-0,032738261	-0,025975157	-0,02459177
136,51758	-72,044647	-0,24550557	-0,033464003	-0,026588084	-0,025229402
137,01758	-73,950066	-0,24855956	-0,034150671	-0,027189177	-0,026153732
137,51758	-75,920326	-0,25330335	-0,03487616	-0,027785543	-0,026856992
138,01758	-77,885033	-0,25762469	-0,035561852	-0,028552495	-0,027533028
138,51758	-79,831184	-0,2639316	-0,036299571	-0,02919391	-0,028285671
139,01758	-81,783257	-0,26811138	-0,037013516	-0,029808903	-0,029006183
139,51758	-83,71669	-0,27123466	-0,037718117	-0,030425161	-0,029736012
140,01758	-85,708916	-0,27515292	-0,038452405	-0,031082269	-0,030441556
140,51758	-87,616066	-0,28107315	-0,039165638	-0,031720318	-0,031168591
141,01758	-89,543747	-0,28510541	-0,039823018	-0,03228477	-0,031979449
141,51758	-91,388451	-0,28858185	-0,040443599	-0,032924503	-0,032618079
142,01758	-93,344933	-0,29205233	-0,04113882	-0,033527173	-0,033398043
142,51758	-95,193611	-0,29834807	-0,04181274	-0,034166545	-0,034050927
143,01758	-97,216972	-0,3016673	-0,042507119	-0,034815703	-0,034765474
143,51758	-99,179657	-0,30595437	-0,043239713	-0,035462011	-0,035562802
144,01758	-101,30458	-0,30922666	-0,043904737	-0,036123086	-0,036362968
144,51758	-103,05795	-0,31540245	-0,044568911	-0,036754426	-0,037078459
145,01758	-105,0731	-0,31854808	-0,04521098	-0,037463482	-0,037821103
145,51758	-107,07909	-0,32354146	-0,045929663	-0,038038526	-0,038476523
146,01758	-109,00745	-0,32666773	-0,046584919	-0,038673151	-0,03925724
146,51758	-110,92761	-0,3306821	-0,047248445	-0,039301354	-0,039920829
147,01758	-112,93306	-0,33435822	-0,047937699	-0,039890941	-0,040715873
147,51758	-114,86081	-0,33882558	-0,048552789	-0,040617749	-0,041510541
148,01758	-116,8337	-0,34492984	-0,049269184	-0,041259676	-0,04220672
148,51758	-118,78449	-0,34798905	-0,04998298	-0,041873567	-0,042975493
149,01758	-120,74694	-0,35149455	-0,050613359	-0,042478535	-0,043702368
149,51758	-122,70522	-0,35704076	-0,051365584	-0,043106072	-0,044466812
150,01758	-124,63246	-0,35884678	-0,05195915	-0,043804605	-0,045242239
150,51758	-126,62146	-0,36349818	-0,052616477	-0,044470996	-0,045944121
151,01758	-128,54747	-0,36668479	-0,053273685	-0,045147475	-0,046733472
151,51758	-130,49786	-0,37085265	-0,054029904	-0,045709796	-0,047394965
152,01758	-132,42964	-0,37477463	-0,0546882	-0,046383731	-0,048189621
152,51758	-134,38657	-0,38158521	-0,055332623	-0,0471038	-0,048924047
153,01758	-136,33778	-0,38383305	-0,05606965	-0,04773007	-0,049646106
153,51758	-135,87413	-0,38288906	-0,056047514	-0,047722615	-0,049717139
154,01758	-133,87411	-0,38079172	-0,05550918	-0,047142375	-0,049111757
154,51758	-131,8768	-0,37570223	-0,054956406	-0,046570413	-0,048450831
155,01758	-129,91949	-0,37390366	-0,054320872	-0,045990735	-0,047930475
155,51758	-127,92413	-0,37038848	-0,053728111	-0,045520168	-0,047241334
156,01758	-126,00308	-0,36689937	-0,053211316	-0,044894993	-0,046671156
156,51758	-124,02642	-0,3641665	-0,052498125	-0,044283208	-0,045986604
157,01758	-122,05903	-0,35800636	-0,051953264	-0,043821435	-0,045360874
157,51758	-120,10392	-0,35582408	-0,051324658	-0,043230388	-0,044750627
158,01758	-118,15522	-0,35217106	-0,050709516	-0,042567972	-0,044123378
158,51758	-116,21581	-0,34817681	-0,050146148	-0,042041671	-0,043484125
159,01758	-114,24209	-0,34562945	-0,049523853	-0,041409973	-0,042810332
159,51758	-112,30415	-0,33981204	-0,048934042	-0,04080689	-0,042343505
160,01758	-110,33086	-0,33856258	-0,048264474	-0,040243965	-0,041567914
160,51758	-108,39021	-0,33471137	-0,047703572	-0,039658658	-0,040908735
161,01758	-106,42991	-0,32903254	-0,047100484	-0,039053559	-0,0402973
161,51758	-104,51587	-0,32597408	-0,046454825	-0,038450763	-0,03964866
162,01758	-102,56344	-0,32306165	-0,045847476	-0,037816133	-0,039006345
162,51758	-100,63272	-0,31866357	-0,045272022	-0,037322555	-0,038266245
163,01758	-98,661659	-0,3136158	-0,044603541	-0,036709245	-0,03766619
163,51758	-96,667816	-0,31105578	-0,043918252	-0,03601015	-0,036948506
164,01758	-94,723549	-0,30687749	-0,043243594	-0,035458107	-0,036200769
164,51758	-92,769478	-0,30360892	-0,042670287	-0,034858588	-0,035646275
165,01758	-90,82515	-0,29790029	-0,04197564	-0,034220904	-0,034902997
165,51758	-88,882301	-0,29430538	-0,041354686	-0,033679813	-0,034209553
166,01758	-86,926155	-0,29043928	-0,040670011	-0,033087786	-0,033604115
166,51758	-85,00071	-0,28807893	-0,040090978	-0,032505583	-0,032817852
167,01758	-83,029015	-0,2841793	-0,039368223	-0,031874049	-0,032158323
167,51758	-81,334709	-0,27840957	-0,038896408	-0,031372514	-0,031528171
168,01758	-79,310921	-0,275819	-0,038122896	-0,030678965	-0,03089501
168,51758	-77,312141	-0,2698034	-0,037439048	-0,030046431	-0,030149374
169,01758	-75,339333	-0,26738793	-0,036803707	-0,029395491	-0,029361092
169,51758	-73,360641	-0,26065186	-0,036028765	-0,02877426	-0,028837968
170,01758	-71,393448	-0,25858209	-0,035361767	-0,02812729	-0,028014615
170,51758	-69,432808	-0,25198013	-0,03471148	-0,027535364	-0,027415786
